team,first_pick,side,bans,picks
Team Secret,True,The Radiant,"['Doom', 'Broodmother', 'Lina', 'Lifestealer', 'Beastmaster', 'Lycan', 'Night Stalker']","['Leshrac', 'Tiny', 'Enigma', 'Lich', 'Pudge']"
Tundra Esports,True,The Dire,"['Doom', 'Broodmother', 'Lina', 'Lifestealer', 'Beastmaster', 'Lycan', 'Night Stalker']","['Leshrac', 'Tiny', 'Enigma', 'Lich', 'Pudge']"
Team Secret,True,The Radiant,"['Nyx Assassin', 'Monkey King', 'Sniper', 'Bloodseeker', 'Beastmaster', 'Pangolier', 'Batrider']","['Marci', 'Visage', 'Chaos Knight', 'Phoenix', 'Arc Warden']"
Tundra Esports,True,The Dire,"['Nyx Assassin', 'Monkey King', 'Sniper', 'Bloodseeker', 'Beastmaster', 'Pangolier', 'Batrider']","['Marci', 'Visage', 'Chaos Knight', 'Phoenix', 'Arc Warden']"
Team Secret,True,The Dire,"['Doom', 'Tusk', 'Tidehunter', 'Brewmaster', 'Chaos Knight', 'Troll Warlord', 'Lifestealer']","['Marci', 'Leshrac', 'Silencer', 'Naga Siren', 'Ember Spirit']"
Tundra Esports,True,The Radiant,"['Doom', 'Tusk', 'Tidehunter', 'Brewmaster', 'Chaos Knight', 'Troll Warlord', 'Lifestealer']","['Marci', 'Leshrac', 'Silencer', 'Naga Siren', 'Ember Spirit']"
Team Liquid,True,The Dire,"['Leshrac', 'Dawnbreaker', 'Monkey King', 'Kunkka', 'Pangolier', 'Gyrocopter', 'Bloodseeker']","['Enigma', 'Tusk', 'Lifestealer', 'Lich', 'Primal Beast']"
Team Secret,True,The Radiant,"['Leshrac', 'Dawnbreaker', 'Monkey King', 'Kunkka', 'Pangolier', 'Gyrocopter', 'Bloodseeker']","['Enigma', 'Tusk', 'Lifestealer', 'Lich', 'Primal Beast']"
Team Liquid,True,The Dire,"['Crystal Maiden', 'Lina', 'Pudge', 'Undying', 'Lifestealer', 'Lone Druid', 'Naga Siren']","['Silencer', 'Monkey King', 'Nyx Assassin', 'Primal Beast', 'Queen of Pain']"
Team Secret,True,The Radiant,"['Crystal Maiden', 'Lina', 'Pudge', 'Undying', 'Lifestealer', 'Lone Druid', 'Naga Siren']","['Silencer', 'Monkey King', 'Nyx Assassin', 'Primal Beast', 'Queen of Pain']"
Team Liquid,True,The Dire,"['Broodmother', 'Crystal Maiden', 'Pudge', 'Jakiro', 'Night Stalker', 'Enigma', 'Dark Seer']","['Enchantress', 'Beastmaster', 'Invoker', 'Earthshaker', 'Drow Ranger']"
