match_title,match_id,team1_name,team2_name,team1_side,team2_side,team1_pick,team2_pick,winner,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
The International 11 Playoff,Game 1: 6832008209,Team Secret,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Doom,Marci,Broodmother,Nyx Assassin,Leshrac,Tusk,Mirana,Tiny,Lina,Templar Assassin,Lifestealer,Morphling,Beastmaster,Monkey King,Hoodwink,Enigma,Lich,Naga Siren,Lycan,Bloodseeker,Night Stalker,Drow Ranger,Pudge,Tidehunter
The International 11 Playoff,Game 2: 6832140410,Team Secret,Tundra Esports,The Radiant,The Dire,,1st Pick,Tundra,Nyx Assassin,Broodmother,Monkey King,Doom,Marci,Leshrac,Tusk,Visage,Sniper,Naga Siren,Bloodseeker,Mirana,Beastmaster,Luna,Chen,Chaos Knight,Phoenix,Bristleback,Pangolier,Viper,Batrider,Hoodwink,Arc Warden,Morphling
The International 11 Playoff,Game 3: 6832287527,Team Secret,Tundra Esports,The Dire,The Radiant,1st Pick,,Tundra,Doom,Monkey King,Tusk,Nyx Assassin,Marci,Tiny,Mirana,Leshrac,Tidehunter,Morphling,Brewmaster,Kunkka,Chaos Knight,Bloodseeker,Pangolier,Silencer,Naga Siren,Beastmaster,Troll Warlord,Shadow Shaman,Lifestealer,Clockwerk,Ember Spirit,Medusa
The International 11 Playoff,Game 1: 6831574509,Team Liquid,Team Secret,The Dire,The Radiant,1st Pick,,Secret,Leshrac,Marci,Dawnbreaker,Broodmother,Enigma,Silencer,Nyx Assassin,Tusk,Monkey King,Pudge,Kunkka,Enchantress,Pangolier,Storm Spirit,Sniper,Lifestealer,Lich,Beastmaster,Gyrocopter,Mars,Bloodseeker,Tiny,Primal Beast,Morphling
The International 11 Playoff,Game 2: 6831640716,Team Liquid,Team Secret,The Dire,The Radiant,,1st Pick,Liquid,Crystal Maiden,Marci,Lina,Leshrac,Silencer,Broodmother,Tusk,Monkey King,Pudge,Magnus,Undying,Pangolier,Lifestealer,Kunkka,Jakiro,Nyx Assassin,Primal Beast,Tiny,Lone Druid,Morphling,Naga Siren,Batrider,Queen of Pain,Sniper
The International 11 Playoff,Game 3: 6831727836,Team Liquid,Team Secret,The Dire,The Radiant,,1st Pick,Secret,Broodmother,Marci,Crystal Maiden,Leshrac,Enchantress,Tusk,Lina,Beastmaster,Pudge,Sniper,Jakiro,Kunkka,Night Stalker,Nyx Assassin,Undying,Invoker,Earthshaker,Lifestealer,Enigma,Ursa,Dark Seer,Morphling,Drow Ranger,Brewmaster
The International 11 Playoff,Game 1: 6829521976,Team Secret,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Doom,Leshrac,Crystal Maiden,Marci,Tusk,Mirana,Broodmother,Monkey King,Slark,Kunkka,Ursa,Enigma,Undying,Pangolier,Tiny,Disruptor,Magnus,Naga Siren,Winter Wyvern,Lina,Batrider,Dark Seer,Ember Spirit,Outworld Destroyer
The International 11 Playoff,Game 2: 6829692346,Team Secret,Tundra Esports,The Radiant,The Dire,,1st Pick,Secret,Leshrac,Doom,Marci,Broodmother,Crystal Maiden,Silencer,Dawnbreaker,Visage,Monkey King,Lifestealer,Bloodseeker,Slark,Lina,Naga Siren,Nyx Assassin,Clockwerk,Primal Beast,Pangolier,Enigma,Chaos Knight,Dark Seer,Luna,Terrorblade,Drow Ranger
The International 11 Playoff,Game 3: 6829836531,Team Secret,Tundra Esports,The Radiant,The Dire,1st Pick,,Tundra,Doom,Marci,Broodmother,Leshrac,Crystal Maiden,Tiny,Mirana,Dawnbreaker,Slark,Nyx Assassin,Naga Siren,Templar Assassin,Outworld Destroyer,Morphling,Tusk,Earth Spirit,Zeus,Enigma,Lifestealer,Silencer,Ursa,Monkey King,Gyrocopter,Chaos Knight
The International 11 Playoff,Game 1: 6829184970,Team Liquid,Team Aster,The Dire,The Radiant,1st Pick,,Liquid,Primal Beast,Enigma,Sven,Nyx Assassin,Marci,Crystal Maiden,Leshrac,Broodmother,Mars,Lifestealer,Naga Siren,Lone Druid,Pangolier,Invoker,Spirit Breaker,Lich,Lina,Sniper,Brewmaster,Pudge,Dawnbreaker,Monkey King,Bloodseeker,Underlord
The International 11 Playoff,Game 2: 6829266295,Team Liquid,Team Aster,The Radiant,The Dire,,1st Pick,Aster,Enigma,Sven,Nyx Assassin,Lina,Marci,Leshrac,Tusk,Sniper,Broodmother,Mars,Lifestealer,Pangolier,Lich,Brewmaster,Crystal Maiden,Jakiro,Pudge,Storm Spirit,Bloodseeker,Tidehunter,Ursa,Visage,Omniknight,Morphling
The International 11 Playoff,Game 3: 6829345218,Team Liquid,Team Aster,The Radiant,The Dire,,1st Pick,Liquid,Enigma,Sven,Broodmother,Marci,Crystal Maiden,Tusk,Lina,Primal Beast,Oracle,Sniper,Lifestealer,Mars,Pudge,Omniknight,Undying,Naga Siren,Beastmaster,Pangolier,Lone Druid,Snapfire,Bloodseeker,Storm Spirit,Drow Ranger,Night Stalker
The International 11 Playoff,Game 1: 6818958825,Team Liquid,Thunder Awaken,The Dire,The Radiant,1st Pick,,THUNDER,Dawnbreaker,Marci,Nyx Assassin,Primal Beast,Tiny,Crystal Maiden,Mars,Leshrac,Zeus,Oracle,Morphling,Silencer,Snapfire,Lone Druid,Rubick,Lifestealer,Pangolier,Enigma,Templar Assassin,Enchantress,Ursa,Winter Wyvern,Lich,Bloodseeker
The International 11 Playoff,Game 2: 6819093598,Team Liquid,Thunder Awaken,The Dire,The Radiant,,1st Pick,Liquid,Primal Beast,Dawnbreaker,Leshrac,Tiny,Marci,Enigma,Tusk,Gyrocopter,Morphling,Pangolier,Lifestealer,Mars,Lone Druid,Crystal Maiden,Broodmother,Disruptor,Tidehunter,Ursa,Lina,Zeus,Queen of Pain,Batrider,Ember Spirit,Puck
The International 11 Playoff,Game 3: 6819203954,Team Liquid,Thunder Awaken,The Dire,The Radiant,,1st Pick,Liquid,Broodmother,Dawnbreaker,Primal Beast,Tiny,Marci,Leshrac,Tusk,Enigma,Gyrocopter,Mars,Lone Druid,Zeus,Silencer,Morphling,Crystal Maiden,Undying,Pudge,Lifestealer,Slardar,Batrider,Puck,Lina,Ember Spirit,Pangolier
The International 11 Playoff,Game 1: 6818781180,PSG.LGD,Team Aster,The Radiant,The Dire,1st Pick,,Aster,Crystal Maiden,Monkey King,Leshrac,Tiny,Primal Beast,Shadow Demon,Lina,Ember Spirit,Brewmaster,Silencer,Lifestealer,Enchantress,Mars,Morphling,Mirana,Disruptor,Visage,Pangolier,Pudge,Bloodseeker,Bristleback,Luna,Riki,Drow Ranger
The International 11 Playoff,Game 2: 6818876789,PSG.LGD,Team Aster,The Radiant,The Dire,,1st Pick,Aster,Monkey King,Primal Beast,Disruptor,Leshrac,Sven,Enigma,Tiny,Lina,Morphling,Brewmaster,Sniper,Pangolier,Drow Ranger,Visage,Snapfire,Gyrocopter,Mirana,Terrorblade,Zeus,Dark Seer,Puck,Broodmother,Mars,Kunkka
The International 11 Playoff,Game 1: 6818633775,Team Liquid,OG,The Dire,The Radiant,1st Pick,,Liquid,Razor,Enigma,Viper,Primal Beast,Marci,Leshrac,Lich,Lina,Sniper,Visage,Mars,Death Prophet,Slardar,Lone Druid,Shadow Demon,Undying,Drow Ranger,Centaur Warrunner,Naga Siren,Beastmaster,Templar Assassin,Broodmother,Pangolier,Slark
The International 11 Playoff,Game 2: 6818704228,Team Liquid,OG,The Radiant,The Dire,,1st Pick,Liquid,Undying,Razor,Enigma,Marci,Tiny,Leshrac,Tusk,Huskar,Ancient Apparition,Oracle,Shadow Demon,Invoker,Lifestealer,Batrider,Crystal Maiden,Snapfire,Ember Spirit,Bloodseeker,Beastmaster,Faceless Void,Death Prophet,Templar Assassin,Nature's Prophet,Broodmother
The International 11 Playoff,Game 1: 6818469926,PSG.LGD,beastcoast,The Radiant,The Dire,1st Pick,,bc,Tiny,Primal Beast,Enigma,Marci,Undying,Visage,Snapfire,Pangolier,Bloodseeker,Nyx Assassin,Batrider,Broodmother,Naga Siren,Mars,Enchantress,Drow Ranger,Mirana,Faceless Void,Ember Spirit,Doom,Puck,Brewmaster,Slardar,Storm Spirit
The International 11 Playoff,Game 2: 6818528391,PSG.LGD,beastcoast,The Dire,The Radiant,,1st Pick,PSG.LGD,Primal Beast,Enigma,Visage,Undying,Tiny,Marci,Leshrac,Nyx Assassin,Beastmaster,Venomancer,Brewmaster,Batrider,Io,Silencer,Disruptor,Crystal Maiden,Mars,Lifestealer,Lycan,Troll Warlord,Tidehunter,Ursa,Faceless Void,Axe
The International 11 Playoff,Game 3: 6818576227,PSG.LGD,beastcoast,The Dire,The Radiant,,1st Pick,PSG.LGD,Primal Beast,Enigma,Visage,Undying,Marci,Sven,Leshrac,Batrider,Oracle,Venomancer,Lifestealer,Pangolier,Slark,Clockwerk,Io,Elder Titan,Chaos Knight,Brewmaster,Faceless Void,Timbersaw,Morphling,Lina,Shadow Fiend,Spirit Breaker
The International 11 Playoff,Game 1: 6817320059,Team Aster,Tundra Esports,The Dire,The Radiant,1st Pick,,Tundra,Nyx Assassin,Primal Beast,Silencer,Leshrac,Crystal Maiden,Mirana,Doom,Marci,Naga Siren,Enigma,Lifestealer,Broodmother,Tusk,Visage,Lich,Mars,Razor,Chaos Knight,Outworld Destroyer,Tiny,Spirit Breaker,Lone Druid,Slark,Pangolier
